# bútor - mueble
asztal        <=> mesa
szekrény      <=> armario
szék          <=> silla
tükör         <=> espejo
ágy           <=> cama

# gzünölcsök frutas
alma          <=> manzana
ananász       <=> piña
banán         <=> banana
birs          <=> membrillo
bodza         <=> saúco
cseresznye    <=> cereza
csipkebogyó   <=> rosa mosqueta
datolyaszilva <=> caqui
dió           <=> nuez
durián        <=> durián

# ital - bebida
bor           <=> vino
gyümölcslé    <=> jugo de frutas
kakaó         <=> cacao
kávé          <=> café

